customer_id,age,plan,tenure_months,monthly_bill,monthly_usage_hours,usage_change_pct,login_frequency,complaint_count,open_complaints,avg_resolution_days,payment_delay_days,payment_failures,plan_changes,engagement_score,satisfaction_score,churn
C1000,56,Enterprise,13,2948.37,59.4,3.2,9,4,2,1.4,5,0,1,65.7,3.3,0
C1001,69,Premium,3,1510.18,38.7,2.5,3,0,0,3.5,10,1,1,58.0,2.2,0
C1002,46,Standard,3,959.1,65.0,-16.7,6,3,3,0.5,1,0,0,61.3,3.8,0
C1003,32,Basic,11,492.36,36.0,17.9,5,2,0,0.5,3,1,0,82.6,4.4,0
C1004,60,Standard,1,884.68,34.7,9.9,7,0,0,3.8,6,2,1,60.4,3.0,0
C1005,25,Standard,2,923.19,62.3,8.9,9,3,0,0.5,17,0,1,32.4,4.1,1
C1006,38,Basic,9,471.02,49.9,-10.0,5,3,3,4.9,3,1,0,62.4,4.3,0
C1007,56,Basic,1,513.78,44.9,19.0,8,1,0,0.5,5,0,1,53.0,4.4,0
C1008,36,Premium,9,1502.18,47.2,-21.1,9,1,1,3.2,7,1,2,42.7,3.1,0
C1009,40,Basic,11,474.48,39.9,-22.3,8,0,0,4.0,5,1,2,89.4,5.0,0
C1010,28,Standard,10,948.04,61.0,41.9,4,1,0,5.3,11,0,0,68.7,3.8,0
C1011,28,Enterprise,36,3031.3,30.4,-17.5,5,0,0,7.6,1,1,0,82.5,2.7,0
C1012,41,Premium,13,1481.32,37.5,-55.8,8,2,1,1.3,9,0,0,37.1,3.4,1
C1013,70,Basic,11,498.25,24.8,21.6,6,0,0,4.4,0,0,1,59.2,2.4,0
C1014,53,Premium,9,1485.44,25.8,29.0,7,0,0,0.5,3,0,0,81.4,3.4,0
C1015,57,Basic,30,467.07,40.0,-10.9,7,1,1,6.2,2,0,0,73.5,4.9,0
C1016,41,Basic,40,414.09,66.9,-57.4,6,1,0,7.7,7,1,1,87.4,4.3,1
C1017,20,Standard,34,874.81,50.5,-6.4,10,0,0,4.8,2,0,2,56.8,5.0,0
C1018,39,Standard,20,867.8,45.8,46.8,5,1,1,1.2,0,0,0,67.1,4.0,0
C1019,70,Standard,2,904.74,65.1,0.1,11,1,1,0.5,4,0,0,68.5,4.9,0
C1020,19,Standard,5,921.03,24.8,14.2,12,0,0,1.9,3,2,0,70.1,2.6,0
C1021,41,Basic,1,458.89,42.8,15.7,7,1,1,1.1,7,0,1,66.8,2.8,0
C1022,61,Basic,48,517.67,57.0,19.3,10,2,2,2.6,5,0,0,57.3,4.2,0
C1023,47,Standard,19,851.19,27.0,41.6,6,2,0,1.8,9,1,0,79.2,4.6,0
C1024,55,Premium,24,1492.74,45.1,22.0,5,0,0,0.5,7,0,1,76.8,4.5,0
C1025,19,Standard,6,868.88,61.9,-7.0,6,2,2,6.3,4,0,1,69.3,2.7,0
C1026,38,Basic,33,536.31,26.7,-32.9,7,1,0,7.0,2,0,0,52.2,5.0,0
C1027,50,Standard,5,904.84,51.9,5.7,8,1,1,5.9,0,0,1,60.0,1.8,0
C1028,29,Basic,1,493.49,43.6,-9.8,6,1,0,0.8,1,0,0,37.3,5.0,0
C1029,39,Basic,8,467.74,42.7,12.9,7,0,0,2.0,5,0,1,56.6,2.6,0
C1030,61,Premium,15,1482.56,35.8,-26.6,8,3,0,0.7,0,1,0,65.5,5.0,0
C1031,42,Basic,11,590.45,31.7,-12.5,5,3,0,3.8,5,0,0,82.2,3.2,0
C1032,66,Basic,35,473.95,50.7,-4.7,6,0,0,5.7,2,0,0,53.4,3.9,0
C1033,44,Standard,2,922.97,44.4,-28.5,5,0,0,3.0,8,1,0,56.7,3.7,1
C1034,59,Standard,14,893.37,51.1,-4.0,9,2,0,2.8,4,0,0,81.7,2.4,1
C1035,45,Standard,12,921.54,52.6,14.7,5,1,1,4.4,6,0,0,87.3,3.9,0
C1036,33,Basic,5,540.85,33.0,42.8,6,2,1,0.5,0,0,0,61.1,2.7,0
C1037,32,Basic,31,481.3,54.7,-23.4,6,0,0,1.0,0,0,0,76.6,3.2,0
C1038,64,Basic,25,534.49,39.9,17.6,8,2,0,1.3,0,1,1,49.9,5.0,0
C1039,68,Basic,23,636.83,42.3,-54.5,12,2,0,2.7,1,0,1,68.2,4.0,0
C1040,61,Standard,37,927.38,50.8,-5.2,10,2,1,13.1,9,0,0,64.4,3.4,0
C1041,72,Premium,23,1579.68,46.0,-3.2,9,0,0,7.0,5,0,0,45.7,4.5,0
C1042,69,Premium,4,1523.05,46.3,15.4,3,1,0,1.0,1,0,0,70.6,4.3,0
C1043,74,Premium,22,1452.4,46.2,-18.0,4,1,0,0.9,10,0,0,56.7,2.9,1
C1044,20,Standard,6,912.78,31.4,1.1,5,1,0,2.0,6,0,0,96.4,2.8,0
C1045,54,Standard,4,882.48,37.5,22.7,10,1,0,12.9,4,0,1,54.1,5.0,0
C1046,68,Standard,1,869.2,65.0,-33.2,11,1,0,0.6,2,0,0,34.6,4.0,0
C1047,24,Standard,24,895.37,35.3,-54.0,7,0,0,11.0,4,3,0,66.2,5.0,0
C1048,38,Standard,22,891.26,61.7,22.0,9,0,0,0.7,3,0,2,77.8,2.1,0
C1049,26,Basic,4,446.0,69.8,-29.9,6,0,0,7.6,6,0,0,59.9,4.9,0
C1050,56,Standard,24,1034.42,22.1,6.4,6,1,0,6.2,1,1,0,73.0,4.3,0
C1051,35,Enterprise,44,3039.39,27.3,43.8,5,2,1,7.5,8,0,0,79.1,2.9,0
C1052,21,Basic,2,511.22,49.2,15.9,15,1,0,7.8,3,2,1,58.8,4.2,0
C1053,42,Basic,4,503.49,53.9,-29.3,11,0,0,0.9,6,0,0,98.0,2.6,0
C1054,31,Standard,24,959.12,45.3,-41.6,4,1,1,5.3,1,0,0,60.5,4.2,0
C1055,67,Premium,5,1602.78,42.5,-24.5,10,1,0,4.0,1,0,0,98.0,4.8,0
C1056,26,Standard,17,933.25,50.3,-0.7,12,1,1,7.4,11,2,0,82.3,3.6,0
C1057,43,Standard,1,905.06,22.3,-11.2,8,0,0,2.4,3,0,1,95.2,3.5,0
C1058,70,Basic,10,572.63,36.8,29.0,6,4,1,1.9,1,1,3,78.8,3.0,0
C1059,19,Standard,24,906.12,29.8,11.7,4,0,0,4.5,0,0,0,73.2,4.7,0
C1060,37,Basic,20,520.77,39.5,-23.3,10,0,0,1.1,2,1,0,51.3,4.0,0
C1061,45,Premium,30,1549.05,63.7,16.2,3,1,1,6.0,7,1,0,57.3,3.4,0
C1062,64,Standard,37,879.68,61.2,32.7,4,1,1,1.2,1,0,1,48.2,5.0,0
C1063,24,Basic,26,395.21,41.9,-12.9,5,0,0,0.5,7,1,0,71.7,4.9,0
C1064,61,Basic,20,477.25,57.8,7.0,6,1,1,2.8,0,0,0,85.6,3.8,0
C1065,25,Basic,1,537.65,32.7,-26.9,12,1,0,6.3,0,0,0,69.0,3.9,0
C1066,64,Standard,13,934.13,29.3,-8.5,5,0,0,4.1,3,1,0,76.8,4.7,0
C1067,52,Basic,1,566.13,26.5,-27.3,8,3,1,15.9,6,0,0,87.3,3.8,0
C1068,31,Standard,29,879.16,25.9,26.0,8,2,0,0.5,6,0,1,54.9,2.5,0
C1069,34,Standard,6,978.05,57.6,-17.5,13,4,2,1.5,3,0,0,78.1,4.0,1
C1070,53,Basic,14,508.25,51.7,6.0,6,0,0,1.7,4,0,0,88.4,4.4,0
