customer_id,age,plan,tenure_months,monthly_bill,monthly_usage_hours,usage_change_pct,login_frequency,complaint_count,open_complaints,avg_resolution_days,payment_delay_days,payment_failures,plan_changes,engagement_score,satisfaction_score,churn
C1000,56,Basic,56,495.74,46.4,18.4,9,2,2,0.5,6,0,0,69.3,2.7,0
C1001,69,Basic,47,519.59,49.8,32.8,4,0,0,0.5,4,0,0,98.0,4.3,0
C1002,46,Standard,16,851.9,59.9,9.2,8,3,1,0.5,29,0,1,62.3,3.1,0
C1003,32,Enterprise,8,3000.69,49.6,14.9,10,3,3,2.0,0,0,0,53.4,4.0,1
C1004,60,Basic,9,453.42,31.9,19.0,3,0,0,0.5,7,0,0,66.0,2.2,0
C1005,25,Standard,10,905.55,42.6,-9.1,8,1,1,2.0,0,1,1,73.8,4.8,0
C1006,38,Basic,26,524.86,41.2,-2.9,6,1,1,1.4,3,0,0,74.0,2.7,0
C1007,56,Basic,12,505.64,33.7,32.2,11,1,1,0.5,6,0,0,87.7,4.8,0
C1008,36,Premium,38,1523.34,53.3,-0.5,9,1,1,0.5,4,0,0,27.6,4.1,1
C1009,40,Premium,57,1471.0,59.7,9.7,8,2,1,5.2,1,0,1,51.6,3.9,0
C1010,28,Basic,8,496.51,38.0,16.8,4,1,1,4.5,1,0,0,75.8,3.4,0
C1011,28,Standard,16,889.48,29.8,11.1,6,0,0,1.2,3,0,0,76.1,4.2,0
C1012,41,Basic,1,486.86,37.7,-8.2,5,0,0,0.5,9,1,1,85.2,2.7,1
C1013,70,Standard,4,866.97,44.9,-5.8,8,2,1,1.5,4,0,0,79.3,4.4,0
C1014,53,Standard,10,881.73,45.1,14.4,8,0,0,2.3,2,1,2,69.3,3.6,0
C1015,57,Basic,4,454.49,49.2,14.4,8,1,1,2.6,8,1,1,75.0,3.8,0
C1016,41,Basic,41,431.23,51.7,24.2,8,3,1,0.5,1,0,2,44.2,2.5,0
C1017,20,Standard,3,870.97,60.3,8.8,4,0,0,3.2,2,0,2,66.7,2.2,0
C1018,39,Enterprise,12,3024.04,55.3,9.9,15,2,1,3.5,1,1,1,50.2,3.6,0
C1019,70,Enterprise,18,3008.36,54.8,-16.2,2,1,1,3.6,6,0,0,40.3,3.3,1
C1020,19,Basic,23,448.74,43.9,-19.5,9,2,1,3.4,0,0,0,55.0,3.7,0
C1021,41,Premium,9,1482.76,31.6,14.5,7,0,0,11.0,4,3,0,51.5,3.1,1
C1022,61,Standard,40,926.7,49.7,-19.4,2,0,0,4.3,4,1,1,76.8,4.1,0
